,agent_activation_regime,fraction_stubborn,influence_error_distribution,influence_model,network_structure_model,population_size
50,synchronous,0.05,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
51,synchronous,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
52,synchronous,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
53,synchronous,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
54,synchronous,0.05,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
55,synchronous,0.05,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
56,synchronous,0.05,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
57,synchronous,0.05,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
58,synchronous,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
59,synchronous,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
60,synchronous,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
61,synchronous,0.05,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
62,synchronous,0.05,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
63,synchronous,0.05,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
64,synchronous,0.05,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
65,synchronous,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
66,synchronous,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
67,synchronous,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
68,synchronous,0.05,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
69,synchronous,0.05,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
70,synchronous,0.05,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
71,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
72,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
73,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
74,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
75,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
76,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
77,synchronous,0.05,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
78,synchronous,0.05,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
79,synchronous,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
80,synchronous,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
81,synchronous,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
82,synchronous,0.05,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
83,synchronous,0.05,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
84,synchronous,0.05,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
85,synchronous,0.15,none,standard_model,erdos_renyi_random(N),1000
86,synchronous,0.15,none,standard_model,"small_world(N, 0.0, 3)",1000
87,synchronous,0.15,none,standard_model,"small_world(N, 0.0, 10)",1000
88,synchronous,0.15,none,standard_model,"small_world(N, 0.66, 3)",1000
89,synchronous,0.15,none,standard_model,"small_world(N, 0.66, 10)",1000
90,synchronous,0.15,none,standard_model,"scale_free(N, 1)",1000
91,synchronous,0.15,none,standard_model,"scale_free(N, 5)",1000
92,synchronous,0.15,none,similarity_bias,erdos_renyi_random(N),1000
93,synchronous,0.15,none,similarity_bias,"small_world(N, 0.0, 3)",1000
94,synchronous,0.15,none,similarity_bias,"small_world(N, 0.0, 10)",1000
95,synchronous,0.15,none,similarity_bias,"small_world(N, 0.66, 3)",1000
96,synchronous,0.15,none,similarity_bias,"small_world(N, 0.66, 10)",1000
97,synchronous,0.15,none,similarity_bias,"scale_free(N, 1)",1000
98,synchronous,0.15,none,similarity_bias,"scale_free(N, 5)",1000
99,synchronous,0.15,none,attractive_repulsive,erdos_renyi_random(N),1000
100,synchronous,0.15,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
101,synchronous,0.15,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
102,synchronous,0.15,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
103,synchronous,0.15,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
104,synchronous,0.15,none,attractive_repulsive,"scale_free(N, 1)",1000
105,synchronous,0.15,none,attractive_repulsive,"scale_free(N, 5)",1000
106,synchronous,0.15,none,random_adoption,erdos_renyi_random(N),1000
107,synchronous,0.15,none,random_adoption,"small_world(N, 0.0, 3)",1000
108,synchronous,0.15,none,random_adoption,"small_world(N, 0.0, 10)",1000
109,synchronous,0.15,none,random_adoption,"small_world(N, 0.66, 3)",1000
110,synchronous,0.15,none,random_adoption,"small_world(N, 0.66, 10)",1000
111,synchronous,0.15,none,random_adoption,"scale_free(N, 1)",1000
112,synchronous,0.15,none,random_adoption,"scale_free(N, 5)",1000
113,synchronous,0.15,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
114,synchronous,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
115,synchronous,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
116,synchronous,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
117,synchronous,0.15,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
118,synchronous,0.15,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
119,synchronous,0.15,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
120,synchronous,0.15,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
121,synchronous,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
122,synchronous,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
123,synchronous,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
124,synchronous,0.15,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
125,synchronous,0.15,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
126,synchronous,0.15,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
127,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
128,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
129,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
130,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
131,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
132,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
133,synchronous,0.15,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
134,synchronous,0.15,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
135,synchronous,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
136,synchronous,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
137,synchronous,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
138,synchronous,0.15,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
139,synchronous,0.15,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
140,synchronous,0.15,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
141,synchronous,0.15,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
142,synchronous,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
143,synchronous,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
144,synchronous,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
145,synchronous,0.15,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
146,synchronous,0.15,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
147,synchronous,0.15,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
148,synchronous,0.15,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
149,synchronous,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
150,synchronous,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
151,synchronous,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
152,synchronous,0.15,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
153,synchronous,0.15,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
154,synchronous,0.15,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
155,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
156,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
157,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
158,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
159,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
160,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
161,synchronous,0.15,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
162,synchronous,0.15,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
163,synchronous,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
164,synchronous,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
165,synchronous,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
166,synchronous,0.15,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
167,synchronous,0.15,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
168,synchronous,0.15,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
169,synchronous,0.33,none,standard_model,erdos_renyi_random(N),1000
170,synchronous,0.33,none,standard_model,"small_world(N, 0.0, 3)",1000
171,synchronous,0.33,none,standard_model,"small_world(N, 0.0, 10)",1000
172,synchronous,0.33,none,standard_model,"small_world(N, 0.66, 3)",1000
173,synchronous,0.33,none,standard_model,"small_world(N, 0.66, 10)",1000
174,synchronous,0.33,none,standard_model,"scale_free(N, 1)",1000
175,synchronous,0.33,none,standard_model,"scale_free(N, 5)",1000
176,synchronous,0.33,none,similarity_bias,erdos_renyi_random(N),1000
177,synchronous,0.33,none,similarity_bias,"small_world(N, 0.0, 3)",1000
178,synchronous,0.33,none,similarity_bias,"small_world(N, 0.0, 10)",1000
179,synchronous,0.33,none,similarity_bias,"small_world(N, 0.66, 3)",1000
180,synchronous,0.33,none,similarity_bias,"small_world(N, 0.66, 10)",1000
181,synchronous,0.33,none,similarity_bias,"scale_free(N, 1)",1000
182,synchronous,0.33,none,similarity_bias,"scale_free(N, 5)",1000
183,synchronous,0.33,none,attractive_repulsive,erdos_renyi_random(N),1000
184,synchronous,0.33,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
185,synchronous,0.33,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
186,synchronous,0.33,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
187,synchronous,0.33,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
188,synchronous,0.33,none,attractive_repulsive,"scale_free(N, 1)",1000
189,synchronous,0.33,none,attractive_repulsive,"scale_free(N, 5)",1000
190,synchronous,0.33,none,random_adoption,erdos_renyi_random(N),1000
191,synchronous,0.33,none,random_adoption,"small_world(N, 0.0, 3)",1000
192,synchronous,0.33,none,random_adoption,"small_world(N, 0.0, 10)",1000
193,synchronous,0.33,none,random_adoption,"small_world(N, 0.66, 3)",1000
194,synchronous,0.33,none,random_adoption,"small_world(N, 0.66, 10)",1000
195,synchronous,0.33,none,random_adoption,"scale_free(N, 1)",1000
196,synchronous,0.33,none,random_adoption,"scale_free(N, 5)",1000
197,synchronous,0.33,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
198,synchronous,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
199,synchronous,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
200,synchronous,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
201,synchronous,0.33,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
202,synchronous,0.33,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
203,synchronous,0.33,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
204,synchronous,0.33,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
205,synchronous,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
206,synchronous,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
207,synchronous,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
208,synchronous,0.33,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
209,synchronous,0.33,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
210,synchronous,0.33,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
211,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
212,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
213,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
214,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
215,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
216,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
217,synchronous,0.33,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
218,synchronous,0.33,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
219,synchronous,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
220,synchronous,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
221,synchronous,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
222,synchronous,0.33,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
223,synchronous,0.33,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
224,synchronous,0.33,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
225,synchronous,0.33,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
226,synchronous,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
227,synchronous,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
228,synchronous,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
229,synchronous,0.33,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
230,synchronous,0.33,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
231,synchronous,0.33,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
232,synchronous,0.33,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
233,synchronous,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
234,synchronous,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
235,synchronous,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
236,synchronous,0.33,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
237,synchronous,0.33,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
238,synchronous,0.33,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
239,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
240,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
241,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
242,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
243,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
244,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 1)",1000
245,synchronous,0.33,"N(0, 0.1)",attractive_repulsive,"scale_free(N, 5)",1000
246,synchronous,0.33,"N(0, 0.1)",random_adoption,erdos_renyi_random(N),1000
247,synchronous,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 3)",1000
248,synchronous,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.0, 10)",1000
249,synchronous,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 3)",1000
250,synchronous,0.33,"N(0, 0.1)",random_adoption,"small_world(N, 0.66, 10)",1000
251,synchronous,0.33,"N(0, 0.1)",random_adoption,"scale_free(N, 1)",1000
252,synchronous,0.33,"N(0, 0.1)",random_adoption,"scale_free(N, 5)",1000
253,synchronous,0.5,none,standard_model,erdos_renyi_random(N),1000
254,synchronous,0.5,none,standard_model,"small_world(N, 0.0, 3)",1000
255,synchronous,0.5,none,standard_model,"small_world(N, 0.0, 10)",1000
256,synchronous,0.5,none,standard_model,"small_world(N, 0.66, 3)",1000
257,synchronous,0.5,none,standard_model,"small_world(N, 0.66, 10)",1000
258,synchronous,0.5,none,standard_model,"scale_free(N, 1)",1000
259,synchronous,0.5,none,standard_model,"scale_free(N, 5)",1000
260,synchronous,0.5,none,similarity_bias,erdos_renyi_random(N),1000
261,synchronous,0.5,none,similarity_bias,"small_world(N, 0.0, 3)",1000
262,synchronous,0.5,none,similarity_bias,"small_world(N, 0.0, 10)",1000
263,synchronous,0.5,none,similarity_bias,"small_world(N, 0.66, 3)",1000
264,synchronous,0.5,none,similarity_bias,"small_world(N, 0.66, 10)",1000
265,synchronous,0.5,none,similarity_bias,"scale_free(N, 1)",1000
266,synchronous,0.5,none,similarity_bias,"scale_free(N, 5)",1000
267,synchronous,0.5,none,attractive_repulsive,erdos_renyi_random(N),1000
268,synchronous,0.5,none,attractive_repulsive,"small_world(N, 0.0, 3)",1000
269,synchronous,0.5,none,attractive_repulsive,"small_world(N, 0.0, 10)",1000
270,synchronous,0.5,none,attractive_repulsive,"small_world(N, 0.66, 3)",1000
271,synchronous,0.5,none,attractive_repulsive,"small_world(N, 0.66, 10)",1000
272,synchronous,0.5,none,attractive_repulsive,"scale_free(N, 1)",1000
273,synchronous,0.5,none,attractive_repulsive,"scale_free(N, 5)",1000
274,synchronous,0.5,none,random_adoption,erdos_renyi_random(N),1000
275,synchronous,0.5,none,random_adoption,"small_world(N, 0.0, 3)",1000
276,synchronous,0.5,none,random_adoption,"small_world(N, 0.0, 10)",1000
277,synchronous,0.5,none,random_adoption,"small_world(N, 0.66, 3)",1000
278,synchronous,0.5,none,random_adoption,"small_world(N, 0.66, 10)",1000
279,synchronous,0.5,none,random_adoption,"scale_free(N, 1)",1000
280,synchronous,0.5,none,random_adoption,"scale_free(N, 5)",1000
281,synchronous,0.5,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
282,synchronous,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
283,synchronous,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
284,synchronous,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
285,synchronous,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
286,synchronous,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
287,synchronous,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
288,synchronous,0.5,"N(0, 0.05)",similarity_bias,erdos_renyi_random(N),1000
289,synchronous,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 3)",1000
290,synchronous,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.0, 10)",1000
291,synchronous,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 3)",1000
292,synchronous,0.5,"N(0, 0.05)",similarity_bias,"small_world(N, 0.66, 10)",1000
293,synchronous,0.5,"N(0, 0.05)",similarity_bias,"scale_free(N, 1)",1000
294,synchronous,0.5,"N(0, 0.05)",similarity_bias,"scale_free(N, 5)",1000
295,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,erdos_renyi_random(N),1000
296,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
297,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.0, 10)",1000
298,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 3)",1000
299,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,"small_world(N, 0.66, 10)",1000
300,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 1)",1000
301,synchronous,0.5,"N(0, 0.05)",attractive_repulsive,"scale_free(N, 5)",1000
302,synchronous,0.5,"N(0, 0.05)",random_adoption,erdos_renyi_random(N),1000
303,synchronous,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 3)",1000
304,synchronous,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.0, 10)",1000
305,synchronous,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 3)",1000
306,synchronous,0.5,"N(0, 0.05)",random_adoption,"small_world(N, 0.66, 10)",1000
307,synchronous,0.5,"N(0, 0.05)",random_adoption,"scale_free(N, 1)",1000
308,synchronous,0.5,"N(0, 0.05)",random_adoption,"scale_free(N, 5)",1000
309,synchronous,0.5,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
310,synchronous,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
311,synchronous,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
312,synchronous,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
313,synchronous,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
314,synchronous,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
315,synchronous,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
316,synchronous,0.5,"N(0, 0.1)",similarity_bias,erdos_renyi_random(N),1000
317,synchronous,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 3)",1000
318,synchronous,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.0, 10)",1000
319,synchronous,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 3)",1000
320,synchronous,0.5,"N(0, 0.1)",similarity_bias,"small_world(N, 0.66, 10)",1000
321,synchronous,0.5,"N(0, 0.1)",similarity_bias,"scale_free(N, 1)",1000
322,synchronous,0.5,"N(0, 0.1)",similarity_bias,"scale_free(N, 5)",1000
323,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,erdos_renyi_random(N),1000
324,synchronous,0.5,"N(0, 0.1)",attractive_repulsive,"small_world(N, 0.0, 3)",1000
