,agent_activation_regime,fraction_concord,fraction_left,influence_error_distribution,influence_model,network_structure_model,population_size
314,random,0.5,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
315,random,0.5,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
316,random,0.75,0.0,none,standard_model,erdos_renyi_random(N),1000
317,random,0.75,0.0,none,standard_model,"small_world(N, 0.0, 3)",1000
318,random,0.75,0.0,none,standard_model,"small_world(N, 0.0, 10)",1000
319,random,0.75,0.0,none,standard_model,"small_world(N, 0.66, 3)",1000
320,random,0.75,0.0,none,standard_model,"small_world(N, 0.66, 10)",1000
321,random,0.75,0.0,none,standard_model,"scale_free(N, 1)",1000
322,random,0.75,0.0,none,standard_model,"scale_free(N, 5)",1000
323,random,0.75,0.0,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
324,random,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
325,random,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
326,random,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
327,random,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
328,random,0.75,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
329,random,0.75,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
330,random,0.75,0.0,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
331,random,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
332,random,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
333,random,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
334,random,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
335,random,0.75,0.0,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
336,random,0.75,0.0,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
337,random,0.75,0.25,none,standard_model,erdos_renyi_random(N),1000
338,random,0.75,0.25,none,standard_model,"small_world(N, 0.0, 3)",1000
339,random,0.75,0.25,none,standard_model,"small_world(N, 0.0, 10)",1000
340,random,0.75,0.25,none,standard_model,"small_world(N, 0.66, 3)",1000
341,random,0.75,0.25,none,standard_model,"small_world(N, 0.66, 10)",1000
342,random,0.75,0.25,none,standard_model,"scale_free(N, 1)",1000
343,random,0.75,0.25,none,standard_model,"scale_free(N, 5)",1000
344,random,0.75,0.25,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
345,random,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
346,random,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
347,random,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
348,random,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
349,random,0.75,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
350,random,0.75,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
351,random,0.75,0.25,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
352,random,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
353,random,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
354,random,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
355,random,0.75,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
356,random,0.75,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
357,random,0.75,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
358,random,0.75,0.5,none,standard_model,erdos_renyi_random(N),1000
359,random,0.75,0.5,none,standard_model,"small_world(N, 0.0, 3)",1000
360,random,0.75,0.5,none,standard_model,"small_world(N, 0.0, 10)",1000
361,random,0.75,0.5,none,standard_model,"small_world(N, 0.66, 3)",1000
362,random,0.75,0.5,none,standard_model,"small_world(N, 0.66, 10)",1000
363,random,0.75,0.5,none,standard_model,"scale_free(N, 1)",1000
364,random,0.75,0.5,none,standard_model,"scale_free(N, 5)",1000
365,random,0.75,0.5,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
366,random,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
367,random,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
368,random,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
369,random,0.75,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
370,random,0.75,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
371,random,0.75,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
372,random,0.75,0.5,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
373,random,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
374,random,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
375,random,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
376,random,0.75,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
377,random,0.75,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
378,random,0.75,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
