,agent_activation_regime,fraction_concord,fraction_left,influence_error_distribution,influence_model,network_structure_model,population_size
71,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
72,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
73,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
74,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
75,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
76,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
77,synchronous,0.5,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
78,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
79,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
80,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
81,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
82,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
83,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
84,synchronous,0.5,0.0,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
85,synchronous,0.5,0.25,none,standard_model,erdos_renyi_random(N),1000
86,synchronous,0.5,0.25,none,standard_model,"small_world(N, 0.0, 3)",1000
87,synchronous,0.5,0.25,none,standard_model,"small_world(N, 0.0, 10)",1000
88,synchronous,0.5,0.25,none,standard_model,"small_world(N, 0.66, 3)",1000
89,synchronous,0.5,0.25,none,standard_model,"small_world(N, 0.66, 10)",1000
90,synchronous,0.5,0.25,none,standard_model,"scale_free(N, 1)",1000
91,synchronous,0.5,0.25,none,standard_model,"scale_free(N, 5)",1000
92,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
93,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
94,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
95,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
96,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
97,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
98,synchronous,0.5,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
99,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
100,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
101,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
102,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
103,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
104,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
105,synchronous,0.5,0.25,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
106,synchronous,0.5,0.5,none,standard_model,erdos_renyi_random(N),1000
107,synchronous,0.5,0.5,none,standard_model,"small_world(N, 0.0, 3)",1000
108,synchronous,0.5,0.5,none,standard_model,"small_world(N, 0.0, 10)",1000
109,synchronous,0.5,0.5,none,standard_model,"small_world(N, 0.66, 3)",1000
110,synchronous,0.5,0.5,none,standard_model,"small_world(N, 0.66, 10)",1000
111,synchronous,0.5,0.5,none,standard_model,"scale_free(N, 1)",1000
112,synchronous,0.5,0.5,none,standard_model,"scale_free(N, 5)",1000
113,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
114,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
115,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
116,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
117,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
118,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
119,synchronous,0.5,0.5,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
120,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
121,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
122,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
123,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
124,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
125,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
126,synchronous,0.5,0.5,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
127,synchronous,0.75,0.0,none,standard_model,erdos_renyi_random(N),1000
128,synchronous,0.75,0.0,none,standard_model,"small_world(N, 0.0, 3)",1000
129,synchronous,0.75,0.0,none,standard_model,"small_world(N, 0.0, 10)",1000
130,synchronous,0.75,0.0,none,standard_model,"small_world(N, 0.66, 3)",1000
131,synchronous,0.75,0.0,none,standard_model,"small_world(N, 0.66, 10)",1000
132,synchronous,0.75,0.0,none,standard_model,"scale_free(N, 1)",1000
133,synchronous,0.75,0.0,none,standard_model,"scale_free(N, 5)",1000
134,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
135,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
136,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
137,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
138,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
139,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
140,synchronous,0.75,0.0,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
141,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
142,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 3)",1000
143,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.0, 10)",1000
144,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 3)",1000
145,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,"small_world(N, 0.66, 10)",1000
146,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,"scale_free(N, 1)",1000
147,synchronous,0.75,0.0,"N(0, 0.1)",standard_model,"scale_free(N, 5)",1000
148,synchronous,0.75,0.25,none,standard_model,erdos_renyi_random(N),1000
149,synchronous,0.75,0.25,none,standard_model,"small_world(N, 0.0, 3)",1000
150,synchronous,0.75,0.25,none,standard_model,"small_world(N, 0.0, 10)",1000
151,synchronous,0.75,0.25,none,standard_model,"small_world(N, 0.66, 3)",1000
152,synchronous,0.75,0.25,none,standard_model,"small_world(N, 0.66, 10)",1000
153,synchronous,0.75,0.25,none,standard_model,"scale_free(N, 1)",1000
154,synchronous,0.75,0.25,none,standard_model,"scale_free(N, 5)",1000
155,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,erdos_renyi_random(N),1000
156,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 3)",1000
157,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.0, 10)",1000
158,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 3)",1000
159,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,"small_world(N, 0.66, 10)",1000
160,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 1)",1000
161,synchronous,0.75,0.25,"N(0, 0.05)",standard_model,"scale_free(N, 5)",1000
162,synchronous,0.75,0.25,"N(0, 0.1)",standard_model,erdos_renyi_random(N),1000
